Anuncio BOE,Cantidad reclamada,Cuenta expediente,Fecha de conclusión,Fecha de inicio,Forma adjudicación,Identificador,Importe del depósito,Lotes,Puja mínima,Tasación,Tipo de subasta,Tramos entre pujas,Valor subasta
BOE-B-2025-7847,"129.486,95 €",0155 0000 06 1575 22,27-03-2025 18:00:00 CET  (ISO: 2025-03-27T18:00:00+01:00),07-03-2025 18:00:00 CET  (ISO: 2025-03-07T18:00:00+01:00),,SUB-JA-2025-242551,"7.226,12 €",Sin lotes,Sin puja mínima,"0,00 €",JUDICIAL EN VÍA DE APREMIO,"2.890,45 €","144.522,50 €"
BOE-B-2025-9452,"16.766,79 €",4513 4678 00 1896 21,07-04-2025 18:00:00 CET  (ISO: 2025-04-07T18:00:00+02:00),18-03-2025 18:00:00 CET  (ISO: 2025-03-18T18:00:00+01:00),,SUB-JA-2025-244230,"6.580,71 €",Sin lotes,Sin puja mínima,"263.228,73 €",JUDICIAL EN VÍA DE APREMIO,Sin tramos,"131.614,36 €"
BOE-B-2025-8677,"77.652,05 €",0738 0000 06 1434 14,02-04-2025 18:00:00 CET  (ISO: 2025-04-02T18:00:00+02:00),13-03-2025 18:00:00 CET  (ISO: 2025-03-13T18:00:00+01:00),,SUB-JA-2024-239968,"19.770,00 €",Sin lotes,Sin puja mínima,"0,00 €",JUDICIAL EN VÍA DE APREMIO,"7.908,00 €","395.400,00 €"
BOE-B-2025-8851,"75.768,06 €",0389 0000 06 0072 23,03-04-2025 18:00:00 CET  (ISO: 2025-04-03T18:00:00+02:00),14-03-2025 18:00:00 CET  (ISO: 2025-03-14T18:00:00+01:00),,SUB-JA-2025-244044,"7.832,16 €",Sin lotes,Sin puja mínima,"0,00 €",JUDICIAL EN VÍA DE APREMIO,"3.132,86 €","156.643,20 €"
BOE-B-2025-9354,"56.260,11 €",2067 0000 05 0094 23,07-04-2025 18:00:00 CET  (ISO: 2025-04-07T18:00:00+02:00),18-03-2025 18:00:00 CET  (ISO: 2025-03-18T18:00:00+01:00),,SUB-JA-2025-243978,"4.690,80 €",Sin lotes,Sin puja mínima,"0,00 €",JUDICIAL EN VÍA DE APREMIO,"1.876,32 €","93.816,15 €"
BOE-B-2025-7260,"416.786,76 €",3284 0000 06 0022 24,24-03-2025 18:00:00 CET  (ISO: 2025-03-24T18:00:00+01:00),04-03-2025 18:00:00 CET  (ISO: 2025-03-04T18:00:00+01:00),,SUB-JA-2025-243046,"15.000,00 €",Sin lotes,Sin puja mínima,"0,00 €",JUDICIAL EN VÍA DE APREMIO,"6.000,00 €","300.000,00 €"
BOE-B-2025-7816,"131.735,81 €",0769 0000 06 3071 22,27-03-2025 18:00:00 CET  (ISO: 2025-03-27T18:00:00+01:00),07-03-2025 18:00:00 CET  (ISO: 2025-03-07T18:00:00+01:00),,SUB-JA-2025-242380,"7.683,92 €",Sin lotes,Sin puja mínima,"0,00 €",JUDICIAL EN VÍA DE APREMIO,"3.073,56 €","153.678,41 €"
BOE-B-2025-7304,"311.065,75 €",0742 0000 06 0238 15,24-03-2025 18:00:00 CET  (ISO: 2025-03-24T18:00:00+01:00),04-03-2025 18:00:00 CET  (ISO: 2025-03-04T18:00:00+01:00),,SUB-JA-2025-241937,"30.081,80 €",Sin lotes,Sin puja mínima,"0,00 €",JUDICIAL EN VÍA DE APREMIO,"12.032,72 €","601.636,00 €"
BOE-B-2025-7272,"174.260,32 €",0766 0000 06 0458 17,24-03-2025 18:00:00 CET  (ISO: 2025-03-24T18:00:00+01:00),04-03-2025 18:00:00 CET  (ISO: 2025-03-04T18:00:00+01:00),,SUB-JA-2025-241541,"20.759,40 €",Sin lotes,Sin puja mínima,"0,00 €",JUDICIAL EN VÍA DE APREMIO,"8.303,76 €","415.187,97 €"
BOE-B-2025-8286,"4.898.131,56 €",5062 0000 06 0506 17,31-03-2025 18:00:00 CET  (ISO: 2025-03-31T18:00:00+02:00),11-03-2025 18:00:00 CET  (ISO: 2025-03-11T18:00:00+01:00),Separada para cada lote,SUB-JA-2025-243143,Ver importe de consignación de cada lote (adjudicación independiente),38,Ver puja mínima de cada lote (adjudicación independiente),Ver valor de tasación en cada lote (los lotes se subastan de forma independiente),JUDICIAL EN VÍA DE APREMIO,Ver tramos de cada lote (adjudicación independiente),Ver valor de subasta en cada lote (los lotes se subastan de forma independiente)
BOE-B-2025-7637,"49.930,32 €",5681 0000 52 0089 24,26-03-2025 18:00:00 CET  (ISO: 2025-03-26T18:00:00+01:00),06-03-2025 18:00:00 CET  (ISO: 2025-03-06T18:00:00+01:00),,SUB-JC-2025-243496,"1.970,28 €",Sin lotes,Sin puja mínima,"0,00 €",JUDICIAL CONCURSAL,Sin tramos,"39.405,66 €"
BOE-B-2025-7793,"104.884,52 €",0712 0000 06 0452 17,27-03-2025 18:00:00 CET  (ISO: 2025-03-27T18:00:00+01:00),07-03-2025 18:00:00 CET  (ISO: 2025-03-07T18:00:00+01:00),,SUB-JA-2025-242289,"8.742,64 €",Sin lotes,Sin puja mínima,"174.852,82 €",JUDICIAL EN VÍA DE APREMIO,"3.497,05 €","174.852,82 €"
BOE-B-2025-9370,"240.338,10 €",0452 0000 05 0113 21,07-04-2025 18:00:00 CET  (ISO: 2025-04-07T18:00:00+02:00),18-03-2025 18:00:00 CET  (ISO: 2025-03-18T18:00:00+01:00),,SUB-JA-2025-243768,"11.527,44 €",Sin lotes,Sin puja mínima,"0,00 €",JUDICIAL EN VÍA DE APREMIO,"4.610,97 €","230.548,85 €"
BOE-B-2025-9352,"185.397,76 €",4387 0000 06 0538 16,07-04-2025 18:00:00 CET  (ISO: 2025-04-07T18:00:00+02:00),18-03-2025 18:00:00 CET  (ISO: 2025-03-18T18:00:00+01:00),Separada para cada lote,SUB-JA-2025-244258,Ver importe de consignación de cada lote (adjudicación independiente),2,Ver puja mínima de cada lote (adjudicación independiente),Ver valor de tasación en cada lote (los lotes se subastan de forma independiente),JUDICIAL EN VÍA DE APREMIO,Ver tramos de cada lote (adjudicación independiente),Ver valor de subasta en cada lote (los lotes se subastan de forma independiente)
BOE-B-2025-7617,"99.765,64 €",0812 0000 05 0083 22,26-03-2025 18:00:00 CET  (ISO: 2025-03-26T18:00:00+01:00),06-03-2025 18:00:00 CET  (ISO: 2025-03-06T18:00:00+01:00),,SUB-JA-2024-238406,"6.106,15 €",Sin lotes,Sin puja mínima,"0,00 €",JUDICIAL EN VÍA DE APREMIO,"2.442,46 €","122.123,00 €"
BOE-B-2025-8496,,,31-03-2025 18:00:00 CET  (ISO: 2025-03-31T18:00:00+02:00),11-03-2025 18:00:00 CET  (ISO: 2025-03-11T18:00:00+01:00),,SUB-AT-2025-25R4686001020,"6.048,73 €",Sin lotes,"12.097,46 €","120.974,60 €",AGENCIA TRIBUTARIA,"2.000,00 €","120.974,60 €"
BOE-B-2025-8526,,,31-03-2025 18:00:00 CET  (ISO: 2025-03-31T18:00:00+02:00),11-03-2025 18:00:00 CET  (ISO: 2025-03-11T18:00:00+01:00),,SUB-AT-2025-24R1586001160,"4.822,50 €",Sin lotes,Sin puja mínima,"213.974,70 €",AGENCIA TRIBUTARIA,"2.000,00 €","96.450,04 €"
BOE-B-2025-9711,"660.194,25 €",2011 0000 05 0102 20,09-04-2025 18:00:00 CET  (ISO: 2025-04-09T18:00:00+02:00),20-03-2025 18:00:00 CET  (ISO: 2025-03-20T18:00:00+01:00),Separada para cada lote,SUB-JA-2024-236191,Ver importe de consignación de cada lote (adjudicación independiente),7,Ver puja mínima de cada lote (adjudicación independiente),Ver valor de tasación en cada lote (los lotes se subastan de forma independiente),JUDICIAL EN VÍA DE APREMIO,Ver tramos de cada lote (adjudicación independiente),Ver valor de subasta en cada lote (los lotes se subastan de forma independiente)
BOE-B-2025-9700,"244.233,54 €",3822 0000 05 0080 14,09-04-2025 18:00:00 CET  (ISO: 2025-04-09T18:00:00+02:00),20-03-2025 18:00:00 CET  (ISO: 2025-03-20T18:00:00+01:00),,SUB-JA-2024-237973,"14.630,87 €",Sin lotes,Sin puja mínima,"0,00 €",JUDICIAL EN VÍA DE APREMIO,Sin tramos,"292.617,50 €"
BOE-B-2025-8301,"56.048,04 €",4870 0000 06 0195 14,31-03-2025 18:00:00 CET  (ISO: 2025-03-31T18:00:00+02:00),11-03-2025 18:00:00 CET  (ISO: 2025-03-11T18:00:00+01:00),,SUB-JA-2025-240964,"6.678,00 €",Sin lotes,Sin puja mínima,"0,00 €",JUDICIAL EN VÍA DE APREMIO,Sin tramos,"133.560,00 €"
BOE-B-2025-7622,"0,00 €",3789 0000 05 0296 20,26-03-2025 18:00:00 CET  (ISO: 2025-03-26T18:00:00+01:00),06-03-2025 18:00:00 CET  (ISO: 2025-03-06T18:00:00+01:00),,SUB-JV-2025-243616,"4.500,00 €",Sin lotes,Sin puja mínima,"0,00 €",JUDICIAL VOLUNTARIA,"1.800,00 €","90.000,00 €"
BOE-B-2025-8402,"97.567,15 €",0012 0000 06 1562 22,31-03-2025 18:00:00 CET  (ISO: 2025-03-31T18:00:00+02:00),11-03-2025 18:00:00 CET  (ISO: 2025-03-11T18:00:00+01:00),,SUB-JA-2025-242512,"9.888,45 €",Sin lotes,Sin puja mínima,"0,00 €",JUDICIAL EN VÍA DE APREMIO,"100,00 €","197.769,12 €"
BOE-B-2025-8431,"50.856,42 €",3728 3097 06 0052 16,31-03-2025 18:00:00 CET  (ISO: 2025-03-31T18:00:00+02:00),11-03-2025 18:00:00 CET  (ISO: 2025-03-11T18:00:00+01:00),,SUB-JA-2025-243795,"10.890,01 €",Sin lotes,Sin puja mínima,"0,00 €",JUDICIAL EN VÍA DE APREMIO,"2.178,01 €","217.800,00 €"
BOE-B-2025-8804,"112.359,53 €",0528 0000 06 0081 21,03-04-2025 18:00:00 CET  (ISO: 2025-04-03T18:00:00+02:00),14-03-2025 18:00:00 CET  (ISO: 2025-03-14T18:00:00+01:00),,SUB-JA-2025-242731,"12.160,00 €",Sin lotes,Sin puja mínima,"0,00 €",JUDICIAL EN VÍA DE APREMIO,"4.864,00 €","243.200,00 €"
BOE-B-2025-7209,"1.253,26 €",0102 0000 05 1776 23,24-03-2025 18:00:00 CET  (ISO: 2025-03-24T18:00:00+01:00),04-03-2025 18:00:00 CET  (ISO: 2025-03-04T18:00:00+01:00),,SUB-JA-2025-243224,"6.560,02 €",Sin lotes,Sin puja mínima,"0,00 €",JUDICIAL EN VÍA DE APREMIO,"2.624,00 €","131.200,47 €"
BOE-B-2025-7610,"99.546,34 €",0470 0000 06 0221 20,26-03-2025 18:00:00 CET  (ISO: 2025-03-26T18:00:00+01:00),06-03-2025 18:00:00 CET  (ISO: 2025-03-06T18:00:00+01:00),Separada para cada lote,SUB-JA-2025-243052,Ver importe de consignación de cada lote (adjudicación independiente),2,Ver puja mínima de cada lote (adjudicación independiente),Ver valor de tasación en cada lote (los lotes se subastan de forma independiente),JUDICIAL EN VÍA DE APREMIO,Ver tramos de cada lote (adjudicación independiente),Ver valor de subasta en cada lote (los lotes se subastan de forma independiente)
BOE-B-2025-7870,"7.747,54 €",3113 0000 06 0714 23,27-03-2025 18:00:00 CET  (ISO: 2025-03-27T18:00:00+01:00),07-03-2025 18:00:00 CET  (ISO: 2025-03-07T18:00:00+01:00),,SUB-JA-2025-243266,"482,50 €",Sin lotes,Sin puja mínima,"0,00 €",JUDICIAL EN VÍA DE APREMIO,"193,00 €","9.650,00 €"
BOE-B-2025-8689,"148.566,98 €",5066 0000 06 0093 20,02-04-2025 18:00:00 CET  (ISO: 2025-04-02T18:00:00+02:00),13-03-2025 18:00:00 CET  (ISO: 2025-03-13T18:00:00+01:00),,SUB-JA-2024-232429,"15.075,06 €",Sin lotes,Sin puja mínima,"0,00 €",JUDICIAL EN VÍA DE APREMIO,"6.030,02 €","301.501,20 €"
BOE-B-2025-9908,"1.086.268,52 €",3441 0000 06 0258 16,10-04-2025 18:00:00 CET  (ISO: 2025-04-10T18:00:00+02:00),21-03-2025 18:00:00 CET  (ISO: 2025-03-21T18:00:00+01:00),Separada para cada lote,SUB-JA-2025-241753,Ver importe de consignación de cada lote (adjudicación independiente),23,Ver puja mínima de cada lote (adjudicación independiente),Ver valor de tasación en cada lote (los lotes se subastan de forma independiente),JUDICIAL EN VÍA DE APREMIO,Ver tramos de cada lote (adjudicación independiente),Ver valor de subasta en cada lote (los lotes se subastan de forma independiente)
