Anuncio BOE,Cantidad reclamada,Cuenta expediente,Fecha de conclusión,Fecha de inicio,Forma adjudicación,Identificador,Importe del depósito,Lotes,Puja mínima,Tasación,Tipo de subasta,Tramos entre pujas,Valor subasta
BOE-B-2025-8664,"1.216.934,28 €",4355 0000 06 0762 19,02-04-2025 18:00:00 CET  (ISO: 2025-04-02T18:00:00+02:00),13-03-2025 18:00:00 CET  (ISO: 2025-03-13T18:00:00+01:00),Separada para cada lote,SUB-JA-2024-224539,Ver importe de consignación de cada lote (adjudicación independiente),16,Ver puja mínima de cada lote (adjudicación independiente),Ver valor de tasación en cada lote (los lotes se subastan de forma independiente),JUDICIAL EN VÍA DE APREMIO,Ver tramos de cada lote (adjudicación independiente),Ver valor de subasta en cada lote (los lotes se subastan de forma independiente)
BOE-B-2025-9276,"102.050,00 €",4705 0000 00 0463 23,07-04-2025 18:00:00 CET  (ISO: 2025-04-07T18:00:00+02:00),18-03-2025 18:00:00 CET  (ISO: 2025-03-18T18:00:00+01:00),,SUB-JA-2025-242408,"7.065,09 €",Sin lotes,Sin puja mínima,"0,00 €",JUDICIAL EN VÍA DE APREMIO,Sin tramos,"141.301,83 €"
BOE-B-2025-8708,"131.635,58 €",4332 0000 06 0272 19,02-04-2025 18:00:00 CET  (ISO: 2025-04-02T18:00:00+02:00),13-03-2025 18:00:00 CET  (ISO: 2025-03-13T18:00:00+01:00),,SUB-JA-2025-243676,"14.452,01 €",Sin lotes,Sin puja mínima,"0,00 €",JUDICIAL EN VÍA DE APREMIO,"5.780,80 €","289.040,30 €"
BOE-B-2025-7206,"215.486,80 €",1683 0000 06 0239 20,24-03-2025 18:00:00 CET  (ISO: 2025-03-24T18:00:00+01:00),04-03-2025 18:00:00 CET  (ISO: 2025-03-04T18:00:00+01:00),,SUB-JA-2025-243140,"18.660,00 €",Sin lotes,Sin puja mínima,"0,00 €",JUDICIAL EN VÍA DE APREMIO,"7.464,00 €","373.200,00 €"
BOE-B-2025-8551,,,31-03-2025 18:00:00 CET  (ISO: 2025-03-31T18:00:00+02:00),11-03-2025 18:00:00 CET  (ISO: 2025-03-11T18:00:00+01:00),,SUB-AT-2025-24R2886001372,"12.243,94 €",Sin lotes,"24.487,89 €","244.878,88 €",AGENCIA TRIBUTARIA,"2.000,00 €","244.878,88 €"
BOE-B-2025-7781,"79.662,78 €",2725 0000 06 0482 10,27-03-2025 18:00:00 CET  (ISO: 2025-03-27T18:00:00+01:00),07-03-2025 18:00:00 CET  (ISO: 2025-03-07T18:00:00+01:00),,SUB-JA-2025-243439,"5.505,00 €",Sin lotes,Sin puja mínima,"0,00 €",JUDICIAL EN VÍA DE APREMIO,"2.202,00 €","110.100,00 €"
BOE-B-2025-9574,,,07-04-2025 18:00:00 CET  (ISO: 2025-04-07T18:00:00+02:00),18-03-2025 18:00:00 CET  (ISO: 2025-03-18T18:00:00+01:00),,SUB-AT-2025-24R4186001779,"716,89 €",Sin lotes,"1.433,78 €","14.337,81 €",AGENCIA TRIBUTARIA,"500,00 €","14.337,81 €"
BOE-B-2025-7257,"61.906,26 €",0726 0000 06 0183 23,24-03-2025 18:00:00 CET  (ISO: 2025-03-24T18:00:00+01:00),04-03-2025 18:00:00 CET  (ISO: 2025-03-04T18:00:00+01:00),,SUB-JA-2025-242510,"5.740,82 €",Sin lotes,Sin puja mínima,"0,00 €",JUDICIAL EN VÍA DE APREMIO,"2.296,32 €","114.816,45 €"
BOE-B-2025-9414,"117.161,15 €",4228 0000 06 0309 24,07-04-2025 18:00:00 CET  (ISO: 2025-04-07T18:00:00+02:00),18-03-2025 18:00:00 CET  (ISO: 2025-03-18T18:00:00+01:00),Separada para cada lote,SUB-JA-2025-241994,Ver importe de consignación de cada lote (adjudicación independiente),2,Ver puja mínima de cada lote (adjudicación independiente),Ver valor de tasación en cada lote (los lotes se subastan de forma independiente),JUDICIAL EN VÍA DE APREMIO,Ver tramos de cada lote (adjudicación independiente),Ver valor de subasta en cada lote (los lotes se subastan de forma independiente)
BOE-B-2025-7314,"102.428,43 €",0186 0000 06 0796 21,24-03-2025 18:00:00 CET  (ISO: 2025-03-24T18:00:00+01:00),04-03-2025 18:00:00 CET  (ISO: 2025-03-04T18:00:00+01:00),,SUB-JA-2025-242604,"10.458,52 €",Sin lotes,Sin puja mínima,"0,00 €",JUDICIAL EN VÍA DE APREMIO,"4.183,41 €","209.170,55 €"
BOE-B-2025-7607,"159.739,32 €",1777 0000 06 0152 24,26-03-2025 18:00:00 CET  (ISO: 2025-03-26T18:00:00+01:00),06-03-2025 18:00:00 CET  (ISO: 2025-03-06T18:00:00+01:00),,SUB-JA-2025-243218,"9.544,07 €",Sin lotes,Sin puja mínima,"0,00 €",JUDICIAL EN VÍA DE APREMIO,"3.817,63 €","190.881,57 €"
BOE-B-2025-7376,"134.313,63 €",1349 0000 06 0233 22,24-03-2025 18:00:00 CET  (ISO: 2025-03-24T18:00:00+01:00),04-03-2025 18:00:00 CET  (ISO: 2025-03-04T18:00:00+01:00),,SUB-JA-2025-243109,"17.700,00 €",Sin lotes,Sin puja mínima,"0,00 €",JUDICIAL EN VÍA DE APREMIO,Sin tramos,"354.000,00 €"
BOE-B-2025-7821,"28.344,43 €",2122 0000 06 0261 24,27-03-2025 18:00:00 CET  (ISO: 2025-03-27T18:00:00+01:00),07-03-2025 18:00:00 CET  (ISO: 2025-03-07T18:00:00+01:00),,SUB-JA-2025-242619,"1.961,00 €",Sin lotes,Sin puja mínima,"0,00 €",JUDICIAL EN VÍA DE APREMIO,Sin tramos,"39.220,00 €"
BOE-B-2025-8304,"0,00 €",1325 0000 05 1029 17,31-03-2025 18:00:00 CET  (ISO: 2025-03-31T18:00:00+02:00),11-03-2025 18:00:00 CET  (ISO: 2025-03-11T18:00:00+01:00),,SUB-JV-2021-185986,"0,00 €",Sin lotes,Sin puja mínima,"0,00 €",JUDICIAL VOLUNTARIA,Sin tramos,"0,01 €"
BOE-B-2025-9883,"91.631,02 €",2374 0000 05 0365 23,10-04-2025 18:00:00 CET  (ISO: 2025-04-10T18:00:00+02:00),21-03-2025 18:00:00 CET  (ISO: 2025-03-21T18:00:00+01:00),,SUB-JA-2025-242970,"6.673,35 €",Sin lotes,Sin puja mínima,"0,00 €",JUDICIAL EN VÍA DE APREMIO,"2.669,34 €","133.467,19 €"
BOE-B-2025-8680,"152.812,86 €",0729 0000 05 0224 21,02-04-2025 18:00:00 CET  (ISO: 2025-04-02T18:00:00+02:00),13-03-2025 18:00:00 CET  (ISO: 2025-03-13T18:00:00+01:00),,SUB-JA-2025-243499,"10.656,00 €",Sin lotes,Sin puja mínima,"0,00 €",JUDICIAL EN VÍA DE APREMIO,"4.262,40 €","213.120,00 €"
BOE-B-2025-8695,"214.515,58 €",0155 0000 06 0511 22,02-04-2025 18:00:00 CET  (ISO: 2025-04-02T18:00:00+02:00),13-03-2025 18:00:00 CET  (ISO: 2025-03-13T18:00:00+01:00),,SUB-JA-2025-243929,"13.085,00 €",Sin lotes,Sin puja mínima,"0,00 €",JUDICIAL EN VÍA DE APREMIO,"5.234,00 €","261.700,00 €"
BOE-B-2025-9462,"87.525,36 €",5359 0000 06 0279 22,07-04-2025 18:00:00 CET  (ISO: 2025-04-07T18:00:00+02:00),18-03-2025 18:00:00 CET  (ISO: 2025-03-18T18:00:00+01:00),,SUB-JA-2025-242820,"3.780,71 €",Sin lotes,Sin puja mínima,"0,00 €",JUDICIAL EN VÍA DE APREMIO,"1.512,28 €","75.614,26 €"
BOE-B-2025-9696,"281.751,11 €",4346 0000 06 0391 23,09-04-2025 18:00:00 CET  (ISO: 2025-04-09T18:00:00+02:00),20-03-2025 18:00:00 CET  (ISO: 2025-03-20T18:00:00+01:00),,SUB-JA-2025-241673,"11.940,28 €",Sin lotes,Sin puja mínima,"0,00 €",JUDICIAL EN VÍA DE APREMIO,"4.776,11 €","238.805,64 €"
BOE-B-2025-8552,,,31-03-2025 18:00:00 CET  (ISO: 2025-03-31T18:00:00+02:00),11-03-2025 18:00:00 CET  (ISO: 2025-03-11T18:00:00+01:00),,SUB-AT-2025-24R2886001373,"1.095,64 €",Sin lotes,"2.191,28 €","27.391,00 €",AGENCIA TRIBUTARIA,"500,00 €","21.912,80 €"
BOE-B-2025-8365,"311.562,22 €",4417 0000 05 0149 21,31-03-2025 18:00:00 CET  (ISO: 2025-03-31T18:00:00+02:00),11-03-2025 18:00:00 CET  (ISO: 2025-03-11T18:00:00+01:00),,SUB-JV-2025-241675,"15.578,11 €",Sin lotes,Sin puja mínima,"0,00 €",JUDICIAL VOLUNTARIA,"6.231,24 €","311.562,22 €"
BOE-B-2025-9266,"68.126,95 €",1510 0000 06 0038 20,07-04-2025 18:00:00 CET  (ISO: 2025-04-07T18:00:00+02:00),18-03-2025 18:00:00 CET  (ISO: 2025-03-18T18:00:00+01:00),,SUB-JA-2024-239449,"4.610,00 €",Sin lotes,Sin puja mínima,"0,00 €",JUDICIAL EN VÍA DE APREMIO,"1.844,00 €","92.200,00 €"
BOE-B-2025-7325,"225.076,94 €",0504 0000 06 0199 17,24-03-2025 18:00:00 CET  (ISO: 2025-03-24T18:00:00+01:00),04-03-2025 18:00:00 CET  (ISO: 2025-03-04T18:00:00+01:00),,SUB-JA-2024-240510,"12.888,07 €",Sin lotes,Sin puja mínima,"257.761,51 €",JUDICIAL EN VÍA DE APREMIO,Sin tramos,"257.761,51 €"
BOE-B-2025-9872,"55.795,57 €",2363 0000 06 0856 14,10-04-2025 18:00:00 CET  (ISO: 2025-04-10T18:00:00+02:00),21-03-2025 18:00:00 CET  (ISO: 2025-03-21T18:00:00+01:00),,SUB-JA-2025-242844,"7.135,00 €",Sin lotes,Sin puja mínima,"142.700,00 €",JUDICIAL EN VÍA DE APREMIO,"2.854,00 €","142.700,00 €"
BOE-B-2025-8332,"7.274.590,82 €",3844 0000 06 0291 18,31-03-2025 18:00:00 CET  (ISO: 2025-03-31T18:00:00+02:00),11-03-2025 18:00:00 CET  (ISO: 2025-03-11T18:00:00+01:00),Separada para cada lote,SUB-JA-2024-233016,Ver importe de consignación de cada lote (adjudicación independiente),73,Ver puja mínima de cada lote (adjudicación independiente),Ver valor de tasación en cada lote (los lotes se subastan de forma independiente),JUDICIAL EN VÍA DE APREMIO,Ver tramos de cada lote (adjudicación independiente),Ver valor de subasta en cada lote (los lotes se subastan de forma independiente)
BOE-B-2025-7367,"107.811,80 €",5453 0000 06 0173 21,24-03-2025 18:00:00 CET  (ISO: 2025-03-24T18:00:00+01:00),04-03-2025 18:00:00 CET  (ISO: 2025-03-04T18:00:00+01:00),,SUB-JA-2025-242853,"7.065,00 €",Sin lotes,Sin puja mínima,"0,00 €",JUDICIAL EN VÍA DE APREMIO,"2.826,00 €","141.300,00 €"
BOE-B-2025-8389,"82.113,74 €",3025 0000 06 1064 10,31-03-2025 18:00:00 CET  (ISO: 2025-03-31T18:00:00+02:00),11-03-2025 18:00:00 CET  (ISO: 2025-03-11T18:00:00+01:00),,SUB-JA-2024-240152,"6.753,53 €",Sin lotes,Sin puja mínima,"0,00 €",JUDICIAL EN VÍA DE APREMIO,"2.701,41 €","135.070,65 €"
BOE-B-2025-7635,"97.978,64 €",4900 0000 06 1773 22,26-03-2025 18:00:00 CET  (ISO: 2025-03-26T18:00:00+01:00),06-03-2025 18:00:00 CET  (ISO: 2025-03-06T18:00:00+01:00),,SUB-JA-2025-243456,"10.000,00 €",Sin lotes,Sin puja mínima,"0,00 €",JUDICIAL EN VÍA DE APREMIO,"4.000,00 €","200.000,00 €"
BOE-B-2025-7300,"7.462.267,03 €",0776 0000 06 0554 14,24-03-2025 18:00:00 CET  (ISO: 2025-03-24T18:00:00+01:00),04-03-2025 18:00:00 CET  (ISO: 2025-03-04T18:00:00+01:00),Separada para cada lote,SUB-JA-2025-241689,Ver importe de consignación de cada lote (adjudicación independiente),52,Ver puja mínima de cada lote (adjudicación independiente),Ver valor de tasación en cada lote (los lotes se subastan de forma independiente),JUDICIAL EN VÍA DE APREMIO,Ver tramos de cada lote (adjudicación independiente),Ver valor de subasta en cada lote (los lotes se subastan de forma independiente)
BOE-B-2025-8445,"87.986,67 €",4513 4381 00 0247 11,31-03-2025 18:00:00 CET  (ISO: 2025-03-31T18:00:00+02:00),11-03-2025 18:00:00 CET  (ISO: 2025-03-11T18:00:00+01:00),,SUB-JA-2025-242658,"5.009,40 €",Sin lotes,Sin puja mínima,"100.188,02 €",JUDICIAL EN VÍA DE APREMIO,Sin tramos,"100.188,02 €"
BOE-B-2025-9917,"378.655,86 €",0854 0000 06 0684 15,10-04-2025 18:00:00 CET  (ISO: 2025-04-10T18:00:00+02:00),21-03-2025 18:00:00 CET  (ISO: 2025-03-21T18:00:00+01:00),,SUB-JA-2025-243204,"36.573,70 €",Sin lotes,Sin puja mínima,"0,00 €",JUDICIAL EN VÍA DE APREMIO,Sin tramos,"731.474,10 €"
BOE-B-2025-8675,"64.177,88 €",4956 0000 06 1214 20,02-04-2025 18:00:00 CET  (ISO: 2025-04-02T18:00:00+02:00),13-03-2025 18:00:00 CET  (ISO: 2025-03-13T18:00:00+01:00),,SUB-JA-2025-242521,"6.303,16 €",Sin lotes,Sin puja mínima,"0,00 €",JUDICIAL EN VÍA DE APREMIO,Sin tramos,"126.063,22 €"
BOE-B-2025-9449,"16.499.604,50 €",4513 4084 00 0830 21,07-04-2025 18:00:00 CET  (ISO: 2025-04-07T18:00:00+02:00),18-03-2025 18:00:00 CET  (ISO: 2025-03-18T18:00:00+01:00),Separada para cada lote,SUB-JA-2024-240851,Ver importe de consignación de cada lote (adjudicación independiente),31,Ver puja mínima de cada lote (adjudicación independiente),Ver valor de tasación en cada lote (los lotes se subastan de forma independiente),JUDICIAL EN VÍA DE APREMIO,Ver tramos de cada lote (adjudicación independiente),Ver valor de subasta en cada lote (los lotes se subastan de forma independiente)
BOE-B-2025-9915,"144.145,85 €",0810 0000 06 1269 19,10-04-2025 18:00:00 CET  (ISO: 2025-04-10T18:00:00+02:00),21-03-2025 18:00:00 CET  (ISO: 2025-03-21T18:00:00+01:00),,SUB-JA-2025-243849,"11.287,50 €",Sin lotes,Sin puja mínima,"0,00 €",JUDICIAL EN VÍA DE APREMIO,"4.515,00 €","225.750,18 €"
BOE-B-2025-8423,"68.501,11 €",3728 3063 06 0141 22,31-03-2025 18:00:00 CET  (ISO: 2025-03-31T18:00:00+02:00),11-03-2025 18:00:00 CET  (ISO: 2025-03-11T18:00:00+01:00),,SUB-JA-2024-235473,"9.370,50 €",Sin lotes,Sin puja mínima,"0,00 €",JUDICIAL EN VÍA DE APREMIO,"1.874,11 €","187.410,00 €"
BOE-B-2025-7230,"85.625,41 €",1704 0000 06 0507 20,24-03-2025 18:00:00 CET  (ISO: 2025-03-24T18:00:00+01:00),04-03-2025 18:00:00 CET  (ISO: 2025-03-04T18:00:00+01:00),,SUB-JA-2025-241467,"6.425,00 €",Sin lotes,Sin puja mínima,"0,00 €",JUDICIAL EN VÍA DE APREMIO,Sin tramos,"128.500,00 €"
BOE-B-2025-8362,"100.257,25 €",3351 0000 06 0078 24,31-03-2025 18:00:00 CET  (ISO: 2025-03-31T18:00:00+02:00),11-03-2025 18:00:00 CET  (ISO: 2025-03-11T18:00:00+01:00),,SUB-JA-2025-243677,"7.468,85 €",Sin lotes,Sin puja mínima,"149.377,00 €",JUDICIAL EN VÍA DE APREMIO,"2.987,54 €","149.377,00 €"
BOE-B-2025-7283,"139.753,86 €",2192 0000 06 0047 22,24-03-2025 18:00:00 CET  (ISO: 2025-03-24T18:00:00+01:00),04-03-2025 18:00:00 CET  (ISO: 2025-03-04T18:00:00+01:00),,SUB-JA-2025-242504,"6.987,69 €",Sin lotes,Sin puja mínima,"0,00 €",JUDICIAL EN VÍA DE APREMIO,Sin tramos,"139.753,86 €"
BOE-B-2025-9709,"191.959,70 €",2770 0000 06 0635 23,09-04-2025 18:00:00 CET  (ISO: 2025-04-09T18:00:00+02:00),20-03-2025 18:00:00 CET  (ISO: 2025-03-20T18:00:00+01:00),,SUB-JA-2025-244048,"7.840,48 €",Sin lotes,Sin puja mínima,"0,00 €",JUDICIAL EN VÍA DE APREMIO,"3.136,19 €","156.809,69 €"
BOE-B-2025-7629,"0,00 €",5256 0000 05 0143 23,26-03-2025 18:00:00 CET  (ISO: 2025-03-26T18:00:00+01:00),06-03-2025 18:00:00 CET  (ISO: 2025-03-06T18:00:00+01:00),,SUB-JV-2025-243060,"2.518,09 €",Sin lotes,Sin puja mínima,"0,00 €",JUDICIAL VOLUNTARIA,"1.007,23 €","50.361,90 €"
BOE-B-2025-8375,"162.514,48 €",1707 0000 06 0308 16,31-03-2025 18:00:00 CET  (ISO: 2025-03-31T18:00:00+02:00),11-03-2025 18:00:00 CET  (ISO: 2025-03-11T18:00:00+01:00),,SUB-JA-2025-243071,"14.339,90 €",Sin lotes,Sin puja mínima,"286.798,00 €",JUDICIAL EN VÍA DE APREMIO,"5.735,96 €","286.798,00 €"
BOE-B-2025-7579,"145.825,50 €",0539 0000 06 0235 20,26-03-2025 18:00:00 CET  (ISO: 2025-03-26T18:00:00+01:00),06-03-2025 18:00:00 CET  (ISO: 2025-03-06T18:00:00+01:00),,SUB-JA-2025-242982,"12.384,50 €",Sin lotes,Sin puja mínima,"0,00 €",JUDICIAL EN VÍA DE APREMIO,"4.953,80 €","247.690,00 €"
BOE-B-2025-9251,"567.190,16 €",4596 0000 06 0046 19,07-04-2025 18:00:00 CET  (ISO: 2025-04-07T18:00:00+02:00),18-03-2025 18:00:00 CET  (ISO: 2025-03-18T18:00:00+01:00),Separada para cada lote,SUB-JA-2025-157089,Ver importe de consignación de cada lote (adjudicación independiente),4,Ver puja mínima de cada lote (adjudicación independiente),Ver valor de tasación en cada lote (los lotes se subastan de forma independiente),JUDICIAL EN VÍA DE APREMIO,Ver tramos de cada lote (adjudicación independiente),Ver valor de subasta en cada lote (los lotes se subastan de forma independiente)
BOE-B-2025-9897,"107.010,40 €",3542 0000 06 0185 24,10-04-2025 18:00:00 CET  (ISO: 2025-04-10T18:00:00+02:00),21-03-2025 18:00:00 CET  (ISO: 2025-03-21T18:00:00+01:00),,SUB-JA-2025-243459,"9.540,24 €",Sin lotes,Sin puja mínima,"190.804,00 €",JUDICIAL EN VÍA DE APREMIO,"3.816,09 €","190.804,99 €"
BOE-B-2025-7358,"58.499,49 €",4211 0000 06 0327 19,24-03-2025 18:00:00 CET  (ISO: 2025-03-24T18:00:00+01:00),04-03-2025 18:00:00 CET  (ISO: 2025-03-04T18:00:00+01:00),,SUB-JA-2024-240140,"4.030,65 €",Sin lotes,Sin puja mínima,"0,00 €",JUDICIAL EN VÍA DE APREMIO,"1.612,26 €","80.613,00 €"
BOE-B-2025-8837,"25.389,69 €",3006 0000 06 0603 20,03-04-2025 18:00:00 CET  (ISO: 2025-04-03T18:00:00+02:00),14-03-2025 18:00:00 CET  (ISO: 2025-03-14T18:00:00+01:00),,SUB-JA-2024-237385,"5.795,43 €",Sin lotes,Sin puja mínima,"0,00 €",JUDICIAL EN VÍA DE APREMIO,"2.318,17 €","115.908,64 €"
BOE-B-2025-7868,"216.101,33 €",3530 0000 06 0127 20,27-03-2025 18:00:00 CET  (ISO: 2025-03-27T18:00:00+01:00),07-03-2025 18:00:00 CET  (ISO: 2025-03-07T18:00:00+01:00),,SUB-JA-2025-233722,"13.565,00 €",Sin lotes,Sin puja mínima,"0,00 €",JUDICIAL EN VÍA DE APREMIO,"5.426,00 €","271.300,00 €"
BOE-B-2025-9296,"71.232,89 €",2751 0000 06 0678 22,07-04-2025 18:00:00 CET  (ISO: 2025-04-07T18:00:00+02:00),18-03-2025 18:00:00 CET  (ISO: 2025-03-18T18:00:00+01:00),,SUB-JA-2025-241094,"7.507,30 €",Sin lotes,Sin puja mínima,"0,00 €",JUDICIAL EN VÍA DE APREMIO,"3.002,92 €","150.146,00 €"
BOE-B-2025-8615,,,31-03-2025 18:00:00 CET  (ISO: 2025-03-31T18:00:00+02:00),11-03-2025 18:00:00 CET  (ISO: 2025-03-11T18:00:00+01:00),,SUB-AT-2025-24R4186001796,"2.435,51 €",Sin lotes,"4.871,02 €","48.710,25 €",AGENCIA TRIBUTARIA,"1.000,00 €","48.710,25 €"
BOE-B-2025-9420,"29.721,95 €",0386 0000 06 0148 22,07-04-2025 18:00:00 CET  (ISO: 2025-04-07T18:00:00+02:00),18-03-2025 18:00:00 CET  (ISO: 2025-03-18T18:00:00+01:00),,SUB-JA-2025-244126,"2.425,00 €",Sin lotes,Sin puja mínima,"0,00 €",JUDICIAL EN VÍA DE APREMIO,"970,00 €","48.500,00 €"
BOE-B-2025-10046,"280.000,00 €",,10-04-2025 18:00:00 CET  (ISO: 2025-04-10T18:00:00+02:00),21-03-2025 18:00:00 CET  (ISO: 2025-03-21T18:00:00+01:00),,SUB-NV-2025-1486046,"10.000,00 €",Sin lotes,"200.000,00 €","333.136,80 €",NOTARIAL VOLUNTARIA,Sin tramos,No consta
BOE-B-2025-8427,"145.986,47 €",3728 2822 06 0268 22,31-03-2025 18:00:00 CET  (ISO: 2025-03-31T18:00:00+02:00),11-03-2025 18:00:00 CET  (ISO: 2025-03-11T18:00:00+01:00),,SUB-JA-2025-241344,"9.507,90 €",Sin lotes,Sin puja mínima,"0,00 €",JUDICIAL EN VÍA DE APREMIO,"1.901,59 €","190.158,00 €"
BOE-B-2025-9329,"249.306,92 €",3844 0000 06 0061 22,07-04-2025 18:00:00 CET  (ISO: 2025-04-07T18:00:00+02:00),18-03-2025 18:00:00 CET  (ISO: 2025-03-18T18:00:00+01:00),Separada para cada lote,SUB-JA-2024-236695,Ver importe de consignación de cada lote (adjudicación independiente),2,Ver puja mínima de cada lote (adjudicación independiente),Ver valor de tasación en cada lote (los lotes se subastan de forma independiente),JUDICIAL EN VÍA DE APREMIO,Ver tramos de cada lote (adjudicación independiente),Ver valor de subasta en cada lote (los lotes se subastan de forma independiente)
BOE-B-2025-7597,"3.402.807,20 €",2460 0000 18 0161 18,26-03-2025 18:00:00 CET  (ISO: 2025-03-26T18:00:00+01:00),06-03-2025 18:00:00 CET  (ISO: 2025-03-06T18:00:00+01:00),Separada para cada lote,SUB-JA-2025-241256,Ver importe de consignación de cada lote (adjudicación independiente),10,Ver puja mínima de cada lote (adjudicación independiente),Ver valor de tasación en cada lote (los lotes se subastan de forma independiente),JUDICIAL EN VÍA DE APREMIO,Ver tramos de cada lote (adjudicación independiente),Ver valor de subasta en cada lote (los lotes se subastan de forma independiente)
BOE-B-2025-7401,"116.161,47 €",3728 4938 06 0205 22,24-03-2025 18:00:00 CET  (ISO: 2025-03-24T18:00:00+01:00),04-03-2025 18:00:00 CET  (ISO: 2025-03-04T18:00:00+01:00),,SUB-JA-2024-237309,"6.607,25 €",Sin lotes,Sin puja mínima,"0,00 €",JUDICIAL EN VÍA DE APREMIO,"2.642,91 €","132.145,00 €"
BOE-B-2025-7823,"222.729,80 €",2199 0000 06 2548 23,27-03-2025 18:00:00 CET  (ISO: 2025-03-27T18:00:00+01:00),07-03-2025 18:00:00 CET  (ISO: 2025-03-07T18:00:00+01:00),,SUB-JA-2025-241954,"11.945,80 €",Sin lotes,Sin puja mínima,"0,00 €",JUDICIAL EN VÍA DE APREMIO,"4.778,32 €","238.915,95 €"
BOE-B-2025-7282,"76.419,00 €",2245 0000 52 0030 22,24-03-2025 18:00:00 CET  (ISO: 2025-03-24T18:00:00+01:00),04-03-2025 18:00:00 CET  (ISO: 2025-03-04T18:00:00+01:00),,SUB-JC-2025-243056,"2.935,32 €",Sin lotes,Sin puja mínima,"0,00 €",JUDICIAL CONCURSAL,"1.174,12 €","58.706,49 €"
BOE-B-2025-8550,,,31-03-2025 18:00:00 CET  (ISO: 2025-03-31T18:00:00+02:00),11-03-2025 18:00:00 CET  (ISO: 2025-03-11T18:00:00+01:00),,SUB-AT-2025-24R2886001326,"9.317,29 €",Sin lotes,"18.634,58 €","186.345,86 €",AGENCIA TRIBUTARIA,"2.000,00 €","186.345,86 €"
BOE-B-2025-9560,,,07-04-2025 18:00:00 CET  (ISO: 2025-04-07T18:00:00+02:00),18-03-2025 18:00:00 CET  (ISO: 2025-03-18T18:00:00+01:00),,SUB-AT-2025-24R0886001671,"4.419,76 €",Sin lotes,"8.839,54 €","88.395,37 €",AGENCIA TRIBUTARIA,"2.000,00 €","88.395,37 €"
BOE-B-2025-9413,"218.114,40 €",3025 0000 06 0590 16,07-04-2025 18:00:00 CET  (ISO: 2025-04-07T18:00:00+02:00),18-03-2025 18:00:00 CET  (ISO: 2025-03-18T18:00:00+01:00),,SUB-JA-2025-242713,"9.131,61 €",Sin lotes,Sin puja mínima,"0,00 €",JUDICIAL EN VÍA DE APREMIO,"3.652,64 €","182.632,32 €"
BOE-B-2025-9350,"161.825,21 €",0773 0000 06 0004 16,07-04-2025 18:00:00 CET  (ISO: 2025-04-07T18:00:00+02:00),18-03-2025 18:00:00 CET  (ISO: 2025-03-18T18:00:00+01:00),,SUB-JA-2025-243657,"9.966,80 €",Sin lotes,Sin puja mínima,"0,00 €",JUDICIAL EN VÍA DE APREMIO,"3.986,72 €","199.336,00 €"
BOE-B-2025-8343,"0,00 €",2716 0000 05 0259 18,31-03-2025 18:00:00 CET  (ISO: 2025-03-31T18:00:00+02:00),11-03-2025 18:00:00 CET  (ISO: 2025-03-11T18:00:00+01:00),,SUB-JV-2025-243542,"10.888,09 €",Sin lotes,Sin puja mínima,"0,00 €",JUDICIAL VOLUNTARIA,"4.355,23 €","217.761,80 €"
BOE-B-2025-7585,"15.006,85 €",2751 0000 05 1083 11,26-03-2025 18:00:00 CET  (ISO: 2025-03-26T18:00:00+01:00),06-03-2025 18:00:00 CET  (ISO: 2025-03-06T18:00:00+01:00),,SUB-JA-2025-241231,"2.883,83 €",Sin lotes,Sin puja mínima,"57.676,68 €",JUDICIAL EN VÍA DE APREMIO,"1.153,53 €","57.676,68 €"
BOE-B-2025-9274,"114.294,96 €",0688 0000 06 0630 20,07-04-2025 18:00:00 CET  (ISO: 2025-04-07T18:00:00+02:00),18-03-2025 18:00:00 CET  (ISO: 2025-03-18T18:00:00+01:00),,SUB-JA-2025-244081,"9.763,67 €",Sin lotes,Sin puja mínima,"0,00 €",JUDICIAL EN VÍA DE APREMIO,"3.905,46 €","195.273,48 €"
BOE-B-2025-9409,"84.406,18 €",0310 0000 06 1965 13,07-04-2025 18:00:00 CET  (ISO: 2025-04-07T18:00:00+02:00),18-03-2025 18:00:00 CET  (ISO: 2025-03-18T18:00:00+01:00),,SUB-JA-2025-233131,"8.400,00 €",Sin lotes,Sin puja mínima,"0,00 €",JUDICIAL EN VÍA DE APREMIO,"3.360,00 €","168.000,00 €"
BOE-B-2025-9898,"149.080,74 €",5066 0000 06 0045 24,10-04-2025 18:00:00 CET  (ISO: 2025-04-10T18:00:00+02:00),21-03-2025 18:00:00 CET  (ISO: 2025-03-21T18:00:00+01:00),,SUB-JA-2025-243577,"9.853,40 €",Sin lotes,Sin puja mínima,"0,00 €",JUDICIAL EN VÍA DE APREMIO,"3.941,36 €","197.068,00 €"
BOE-B-2025-8557,,,31-03-2025 18:00:00 CET  (ISO: 2025-03-31T18:00:00+02:00),11-03-2025 18:00:00 CET  (ISO: 2025-03-11T18:00:00+01:00),,SUB-AT-2025-24R2886001496,"272,29 €",Sin lotes,Sin puja mínima,"39.547,01 €",AGENCIA TRIBUTARIA,"200,00 €","5.445,97 €"
